total cnt, <=12.5 uS, >=37.0 uS, track,13.0 uS,13.5 uS,14.0 uS,14.5 uS,15.0 uS,15.5 uS,16.0 uS,16.5 uS,17.0 uS,17.5 uS,18.0 uS,18.5 uS,19.0 uS,19.5 uS,20.0 uS,20.5 uS,21.0 uS,21.5 uS,22.0 uS,22.5 uS,23.0 uS,23.5 uS,24.0 uS,24.5 uS,25.0 uS,25.5 uS,26.0 uS,26.5 uS,27.0 uS,27.5 uS,28.0 uS,28.5 uS,29.0 uS,29.5 uS,30.0 uS,30.5 uS,31.0 uS,31.5 uS,32.0 uS,32.5 uS,33.0 uS,33.5 uS,34.0 uS,34.5 uS,35.0 uS,35.5 uS,36.0 uS,36.5 uS,avg uS
1065, 0, 0,trk0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.38%, 0.19%, 0.56%, 1.50%, 3.10%, 9.86%, 14.84%, 19.44%, 21.60%, 15.21%, 8.83%, 3.76%, 0.66%, 0.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.19
1394, 0, 0,trk1, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.14%, 0.43%, 0.86%, 3.66%, 6.81%, 13.56%, 19.73%, 21.81%, 17.29%, 10.83%, 3.66%, 1.08%, 0.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.82
1191, 0, 0,trk2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 0.34%, 1.34%, 3.11%, 8.48%, 15.87%, 21.75%, 22.25%, 15.37%, 7.81%, 2.60%, 0.76%, 0.08%, 0.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.20
1326, 0, 2,trk3, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.08%, 0.08%, 1.28%, 3.17%, 6.50%, 13.75%, 21.53%, 22.21%, 15.63%, 9.89%, 4.68%, 0.91%, 0.08%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.82
1170, 0, 89,trk4, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.09%, 0.00%, 0.19%, 0.00%, 1.20%, 3.42%, 5.55%, 9.16%, 13.97%, 15.26%, 14.99%, 13.41%, 10.64%, 5.46%, 3.70%, 2.13%, 0.65%, 0.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 21.30
1618, 0, 2,trk5, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.12%, 0.31%, 0.62%, 2.41%, 4.33%, 8.42%, 13.24%, 18.19%, 16.83%, 13.80%, 11.39%, 5.94%, 2.04%, 1.61%, 0.25%, 0.25%, 0.19%, 0.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.34
1534, 0, 1,trk6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.07%, 0.33%, 0.78%, 1.17%, 2.22%, 4.44%, 8.35%, 9.78%, 14.94%, 20.35%, 15.59%, 11.81%, 6.26%, 3.07%, 0.65%, 0.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.34
1814, 0, 1,trk7, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%, 0.44%, 1.10%, 3.81%, 8.83%, 14.01%, 19.69%, 20.46%, 14.73%, 9.49%, 4.41%, 2.26%, 0.44%, 0.22%, 0.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.80
36506, 0, 215,trk8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.06%, 0.28%, 3.72%, 16.45%, 28.36%, 31.62%, 16.79%, 2.23%, 0.38%, 0.09%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.74
